"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.08.2021","1,54944","1,47573","1,56768","1,45304","232,08M","5,42%"
"19.08.2021","1,46980","1,33403","1,46980","1,30051","167,97M","10,09%"
"18.08.2021","1,33507","1,34968","1,40894","1,27830","207,83M","-1,20%"
"17.08.2021","1,35132","1,41993","1,53089","1,33756","248,27M","-4,81%"
"16.08.2021","1,41965","1,46626","1,55788","1,41660","250,98M","-3,15%"
"15.08.2021","1,46587","1,44133","1,48351","1,36996","165,02M","1,68%"
"14.08.2021","1,44162","1,51112","1,51112","1,40613","207,09M","-4,71%"
"13.08.2021","1,51280","1,32066","1,51486","1,31660","293,29M","14,50%"
"12.08.2021","1,32118","1,37231","1,47750","1,25806","367,79M","-3,70%"
"11.08.2021","1,37200","1,15604","1,42509","1,15413","489,09M","18,54%"
"10.08.2021","1,15739","1,12603","1,17850","1,10925","198,66M","2,76%"
"09.08.2021","1,12627","1,08124","1,15761","1,03864","171,61M","4,21%"
"08.08.2021","1,08073","1,16586","1,17823","1,06916","164,97M","-7,41%"
"07.08.2021","1,16724","1,08096","1,19444","1,06910","276,59M","8,08%"
"06.08.2021","1,08000","1,06794","1,09759","1,03650","119,36M","1,36%"
"05.08.2021","1,06550","1,05425","1,07415","1,01230","138,20M","1,22%"
"04.08.2021","1,05267","1,02207","1,07082","1,00974","112,67M","2,95%"
"03.08.2021","1,02254","1,04664","1,05974","1,00571","109,22M","-2,20%"
"02.08.2021","1,04558","1,05054","1,07892","1,02007","134,38M","-0,42%"
"01.08.2021","1,05001","1,08239","1,13449","1,04118","217,37M","-2,63%"
"31.07.2021","1,07837","1,06677","1,09935","1,02543","148,91M","1,18%"
"30.07.2021","1,06579","1,02872","1,07067","0,99618","176,06M","3,68%"
"29.07.2021","1,02794","1,01780","1,04219","0,99132","114,63M","1,10%"
"28.07.2021","1,01672","1,03940","1,05711","0,99251","200,37M","-2,39%"
"27.07.2021","1,04157","1,01535","1,06288","0,93789","349,57M","2,49%"
"26.07.2021","1,01622","0,93985","1,13391","0,93269","606,60M","8,22%"
"25.07.2021","0,93901","0,93579","0,93988","0,88757","178,16M","2,17%"
"24.07.2021","0,91905","0,94941","0,94941","0,91102","236,41M","-3,15%"
"23.07.2021","0,94892","0,88200","0,95501","0,85962","310,82M","7,76%"
"22.07.2021","0,88059","0,88717","0,92921","0,84359","424,50M","-0,85%"
"21.07.2021","0,88812","0,68671","0,94185","0,66972","713,82M","28,88%"
"20.07.2021","0,68910","0,73254","0,73842","0,62417","370,87M","-5,85%"
"19.07.2021","0,73188","0,79327","0,79914","0,72853","120,34M","-7,87%"
"18.07.2021","0,79437","0,80088","0,85751","0,78932","116,53M","-0,87%"
"17.07.2021","0,80132","0,81102","0,82064","0,78296","128,21M","-1,30%"
"16.07.2021","0,81184","0,87899","0,89720","0,81020","122,53M","-7,65%"
"15.07.2021","0,87905","0,92893","0,94471","0,85762","116,30M","-5,38%"
"14.07.2021","0,92899","0,94600","0,96542","0,87030","157,30M","-1,81%"
"13.07.2021","0,94616","0,99421","0,99502","0,93706","104,17M","-5,06%"
"12.07.2021","0,99659","1,04231","1,04853","0,96425","115,48M","-4,34%"
"11.07.2021","1,04184","1,03009","1,05658","1,02087","57,52M","1,20%"
"10.07.2021","1,02947","1,05001","1,07098","1,02127","77,96M","-2,13%"
"09.07.2021","1,05186","1,01608","1,06894","1,00559","111,51M","0,87%"
"08.07.2021","1,04278","1,12629","1,13222","1,01872","147,69M","-7,58%"
"07.07.2021","1,12831","1,12983","1,16188","1,12538","153,05M","0,24%"
"06.07.2021","1,12560","1,10083","1,14985","1,10083","138,95M","2,24%"
"05.07.2021","1,10089","1,14721","1,14721","1,10089","126,95M","-4,13%"
"04.07.2021","1,14826","1,15191","1,16701","1,14304","132,07M","1,36%"
"03.07.2021","1,13280","1,10494","1,14124","1,08745","112,14M","2,69%"
"02.07.2021","1,10310","1,07300","1,10310","1,04510","126,53M","2,76%"
"01.07.2021","1,07346","1,16424","1,16424","1,07346","151,55M","-8,04%"
"30.06.2021","1,16733","1,17221","1,18121","1,09618","217,47M","0,04%"
"29.06.2021","1,16691","1,11986","1,22819","1,11986","284,79M","4,18%"
"28.06.2021","1,12010","1,11161","1,14443","1,09268","218,54M","0,62%"
"27.06.2021","1,11324","1,07452","1,11324","1,04245","210,82M","3,37%"
"26.06.2021","1,07699","1,04553","1,09461","1,02170","236,64M","3,48%"
"25.06.2021","1,04077","1,20262","1,22147","1,04077","308,41M","-13,50%"
"24.06.2021","1,20322","1,17743","1,23237","1,15905","263,90M","2,32%"
"23.06.2021","1,17593","1,07201","1,20806","1,07201","436,66M","9,61%"
"22.06.2021","1,07284","1,09813","1,20651","1,03698","871,53M","-2,74%"
"21.06.2021","1,10306","1,39925","1,39925","1,10306","477,32M","-20,95%"
"20.06.2021","1,39538","1,35976","1,41844","1,32154","258,06M","2,63%"
"19.06.2021","1,35964","1,37742","1,41982","1,35586","231,24M","-1,08%"
"18.06.2021","1,37448","1,49946","1,49962","1,34931","320,05M","-8,48%"
"17.06.2021","1,50179","1,47631","1,54645","1,47631","265,31M","1,49%"
"16.06.2021","1,47967","1,62164","1,62499","1,47967","356,48M","-9,11%"
"15.06.2021","1,62800","1,54927","1,69706","1,54927","504,59M","5,07%"
"14.06.2021","1,54938","1,48003","1,54938","1,44669","372,22M","5,64%"
"13.06.2021","1,46670","1,34761","1,46670","1,34155","390,13M","9,46%"
"12.06.2021","1,34000","1,24921","1,37094","1,20755","426,81M","7,21%"
"11.06.2021","1,24992","1,36373","1,36373","1,24992","246,75M","-8,26%"
"10.06.2021","1,36240","1,49166","1,49166","1,36240","274,05M","-8,60%"
"09.06.2021","1,49064","1,48086","1,49582","1,36537","452,40M","0,60%"
"08.06.2021","1,48182","1,49494","1,49494","1,32704","627,55M","-0,24%"
"07.06.2021","1,48545","1,58189","1,69753","1,48545","450,17M","-6,00%"
"06.06.2021","1,58022","1,52618","1,58022","1,52618","218,36M","3,44%"
"05.06.2021","1,52761","1,63613","1,68439","1,51196","335,34M","-6,40%"
"04.06.2021","1,63205","1,82342","1,82342","1,57141","533,93M","-10,47%"
"03.06.2021","1,82294","1,79693","1,83491","1,77950","311,02M","1,35%"
"02.06.2021","1,79859","1,82851","1,83517","1,78445","364,01M","-1,29%"
"01.06.2021","1,82211","1,86805","1,90964","1,80458","490,26M","-3,08%"
"31.05.2021","1,88008","1,86200","1,88008","1,76199","678,48M","0,92%"
"30.05.2021","1,86286","1,69222","1,91268","1,58967","916,14M","10,07%"
"29.05.2021","1,69236","1,81899","1,85182","1,55498","855,35M","-7,08%"
"28.05.2021","1,82139","2,02275","2,02275","1,71863","1,17B","-10,19%"
"27.05.2021","2,02806","2,20546","2,24252","2,00123","1,04B","-8,36%"
"26.05.2021","2,21311","1,94930","2,29610","1,94930","1,48B","13,98%"
"25.05.2021","1,94175","1,74405","1,94175","1,62466","1,41B","12,79%"
"24.05.2021","1,72162","1,09493","1,78825","1,09493","2,25B","59,82%"
"23.05.2021","1,07723","1,18499","1,20494","0,80640","1,36B","-9,57%"
"22.05.2021","1,19121","1,47791","1,56102","1,19121","772,84M","-19,77%"
"21.05.2021","1,48469","1,82620","1,88097","1,39511","925,65M","-18,71%"
"20.05.2021","1,82636","1,64041","2,09743","1,53112","1,12B","12,54%"
"19.05.2021","1,62287","2,45723","2,45723","1,50034","1,98B","-33,77%"
"18.05.2021","2,45018","1,74292","2,53641","1,74292","1,19B","41,88%"
"17.05.2021","1,72693","1,72849","1,76378","1,55229","569,09M","1,00%"
"16.05.2021","1,70990","1,59845","1,79368","1,51261","577,87M","7,11%"
"15.05.2021","1,59633","1,47000","1,86027","1,47000","1,05B","8,50%"
"14.05.2021","1,47127","1,04857","1,47127","1,04857","721,23M","39,59%"
"13.05.2021","1,05400","1,05088","1,15482","1,00136","576,33M","5,01%"
"12.05.2021","1,00372","1,05743","1,20214","1,00372","741,37M","-5,98%"
"11.05.2021","1,06759","0,87473","1,06759","0,81207","493,56M","21,92%"
"10.05.2021","0,87566","0,96800","0,96961","0,85301","431,84M","-9,65%"
"09.05.2021","0,96917","0,84833","1,03903","0,81591","1,05B","14,18%"
"08.05.2021","0,84878","0,75095","0,84878","0,74137","251,83M","12,88%"
"07.05.2021","0,75191","0,76516","0,78071","0,74544","199,82M","-1,51%"
"06.05.2021","0,76343","0,80857","0,80857","0,75028","192,73M","-5,64%"
"05.05.2021","0,80910","0,72997","0,81160","0,72997","313,06M","13,64%"
"04.05.2021","0,71197","0,79482","0,79482","0,70919","304,26M","-10,50%"
"03.05.2021","0,79548","0,82123","0,85887","0,79085","300,85M","-3,34%"
"02.05.2021","0,82299","0,78688","0,82299","0,75710","311,96M","4,67%"
"01.05.2021","0,78625","0,82245","0,82745","0,78379","393,05M","-4,14%"
"30.04.2021","0,82017","0,89207","0,93372","0,81437","799,33M","-7,83%"
"29.04.2021","0,88982","0,78249","0,88982","0,76923","1,18B","14,56%"
"28.04.2021","0,77675","0,83492","0,84136","0,71993","1,84B","-7,53%"
"27.04.2021","0,83999","0,53600","0,83999","0,53600","1,17B","57,13%"
"26.04.2021","0,53458","0,38541","0,55075","0,38541","1,10B","39,12%"
"25.04.2021","0,38425","0,35405","0,39181","0,35405","226,09M","8,36%"
"24.04.2021","0,35459","0,38430","0,38430","0,34607","148,48M","-7,08%"
"23.04.2021","0,38162","0,35107","0,38498","0,31609","354,78M","9,03%"
"22.04.2021","0,35001","0,36067","0,41490","0,35001","534,44M","-1,75%"
"21.04.2021","0,35623","0,34258","0,36838","0,33893","183,69M","4,14%"
"20.04.2021","0,34206","0,32540","0,34931","0,31056","171,40M","4,81%"
"19.04.2021","0,32636","0,36600","0,37832","0,32636","168,71M","-10,37%"
"18.04.2021","0,36411","0,40369","0,40369","0,32376","292,24M","-9,48%"
"17.04.2021","0,40225","0,43638","0,43698","0,40225","144,19M","-7,69%"
"16.04.2021","0,43576","0,44338","0,44339","0,41866","260,21M","-1,20%"
"15.04.2021","0,44105","0,41866","0,44575","0,40707","296,01M","6,51%"
"14.04.2021","0,41409","0,42608","0,44025","0,38608","327,18M","-2,06%"
"13.04.2021","0,42279","0,35897","0,42279","0,35829","438,83M","18,16%"
"12.04.2021","0,35780","0,37054","0,37054","0,35192","89,99M","-3,26%"
"11.04.2021","0,36986","0,35893","0,36986","0,35646","83,98M","3,35%"
"10.04.2021","0,35788","0,36733","0,37064","0,35488","115,55M","-2,52%"
"09.04.2021","0,36713","0,35658","0,38324","0,35028","134,53M","3,22%"
"08.04.2021","0,35567","0,33820","0,35984","0,33820","119,92M","5,63%"
"07.04.2021","0,33671","0,37567","0,37567","0,32819","226,56M","-9,92%"
"06.04.2021","0,37381","0,37349","0,38089","0,36671","223,83M","0,95%"
"05.04.2021","0,37030","0,36259","0,37030","0,35161","151,87M","2,59%"
"04.04.2021","0,36094","0,35000","0,36785","0,35000","112,26M","2,66%"
"03.04.2021","0,35160","0,38471","0,38940","0,35160","177,17M","-8,08%"
"02.04.2021","0,38251","0,36440","0,39022","0,36001","190,00M","5,30%"
"01.04.2021","0,36326","0,36192","0,37197","0,35928","144,49M","0,91%"
"31.03.2021","0,35999","0,37136","0,37136","0,34372","205,46M","-2,99%"
"30.03.2021","0,37107","0,38456","0,38456","0,36354","178,74M","-3,38%"
"29.03.2021","0,38405","0,34733","0,39493","0,34030","395,44M","11,05%"
"28.03.2021","0,34585","0,33269","0,35156","0,33214","163,97M","3,95%"
"27.03.2021","0,33270","0,33655","0,34638","0,33270","159,53M","-1,12%"
"26.03.2021","0,33647","0,30023","0,33647","0,30023","166,65M","11,93%"
"25.03.2021","0,30060","0,32204","0,33030","0,30060","193,26M","-6,68%"
"24.03.2021","0,32213","0,32959","0,36390","0,32213","268,45M","-2,53%"
"23.03.2021","0,33049","0,34658","0,35136","0,32922","146,30M","-4,49%"
"22.03.2021","0,34601","0,38050","0,38142","0,34308","152,17M","-8,83%"
"21.03.2021","0,37953","0,38163","0,38890","0,36876","152,50M","-0,98%"
"20.03.2021","0,38327","0,40906","0,41455","0,38327","148,44M","-6,48%"
"19.03.2021","0,40983","0,39032","0,41815","0,39032","176,92M","5,23%"
"18.03.2021","0,38946","0,40150","0,42619","0,38946","221,59M","-2,83%"
"17.03.2021","0,40082","0,37334","0,41023","0,37334","418,00M","7,58%"
"16.03.2021","0,37258","0,39131","0,39131","0,35780","311,88M","-4,87%"
"15.03.2021","0,39167","0,38220","0,42215","0,38220","413,11M","2,95%"
"14.03.2021","0,38043","0,42548","0,42548","0,38043","381,85M","-10,55%"
"13.03.2021","0,42530","0,41794","0,45189","0,41319","539,60M","2,77%"
"12.03.2021","0,41385","0,41040","0,48664","0,41040","1,10B","1,18%"
"11.03.2021","0,40902","0,28776","0,41117","0,28776","1,40B","42,50%"
"10.03.2021","0,28703","0,30149","0,32631","0,28703","859,36M","-3,82%"
"09.03.2021","0,29843","0,21773","0,29843","0,21690","899,30M","37,57%"
"08.03.2021","0,21693","0,21238","0,21707","0,20680","182,13M","2,21%"
"07.03.2021","0,21223","0,21272","0,22125","0,21126","159,50M","-0,20%"
"06.03.2021","0,21266","0,21273","0,22575","0,21176","223,35M","0,07%"
"05.03.2021","0,21251","0,19926","0,22045","0,19000","395,46M","7,03%"
"04.03.2021","0,19855","0,22226","0,22337","0,19855","400,69M","-10,96%"
"03.03.2021","0,22300","0,23245","0,23256","0,22300","330,99M","-4,13%"
"02.03.2021","0,23261","0,24727","0,24727","0,22232","498,22M","-6,25%"
"01.03.2021","0,24813","0,23290","0,24813","0,22071","924,25M","8,00%"
"28.02.2021","0,22975","0,19709","0,22975","0,17898","1,05B","16,88%"
"27.02.2021","0,19657","0,19033","0,22216","0,19033","988,96M","3,11%"
"26.02.2021","0,19065","0,17624","0,19122","0,16042","1,13B","8,51%"
"25.02.2021","0,17570","0,15989","0,20690","0,15989","1,28B","9,73%"
"24.02.2021","0,16012","0,13665","0,16313","0,13461","760,76M","16,90%"
"23.02.2021","0,13697","0,15201","0,15201","0,11658","872,34M","-9,89%"
"22.02.2021","0,15200","0,16318","0,16318","0,13966","794,25M","-6,43%"
"21.02.2021","0,16245","0,14502","0,17650","0,14468","788,86M","12,20%"
"20.02.2021","0,14478","0,15355","0,18657","0,14478","1,52B","-5,83%"
"19.02.2021","0,15374","0,12265","0,15374","0,12083","746,88M","25,64%"
"18.02.2021","0,12237","0,11306","0,13047","0,11306","582,53M","9,13%"
"17.02.2021","0,11213","0,10886","0,11836","0,09970","514,91M","2,98%"
"16.02.2021","0,10888","0,10750","0,11266","0,10410","464,57M","1,74%"
"15.02.2021","0,10702","0,10099","0,11310","0,08216","795,00M","6,52%"
"14.02.2021","0,10047","0,11193","0,11274","0,09613","435,61M","-9,92%"
"13.02.2021","0,11153","0,12060","0,12373","0,11153","443,82M","-7,66%"
"12.02.2021","0,12078","0,12406","0,12497","0,11830","458,83M","-1,67%"
"11.02.2021","0,12283","0,11587","0,13114","0,11543","679,65M","5,61%"
"10.02.2021","0,11630","0,09952","0,13420","0,09952","1,89B","17,74%"
"09.02.2021","0,09878","0,07117","0,10088","0,07116","1,08B","38,99%"
"08.02.2021","0,07107","0,06679","0,07675","0,06304","975,37M","5,96%"
"07.02.2021","0,06707","0,05243","0,06707","0,04959","750,18M","27,95%"
"06.02.2021","0,05242","0,05490","0,05490","0,04763","491,10M","-4,27%"
"05.02.2021","0,05476","0,04780","0,05548","0,04755","650,96M","15,60%"
"04.02.2021","0,04737","0,04380","0,04870","0,04086","538,43M","8,22%"
"03.02.2021","0,04377","0,04106","0,04377","0,04008","293,85M","6,60%"
"02.02.2021","0,04106","0,04082","0,04106","0,03963","216,93M","0,39%"
"01.02.2021","0,04090","0,03831","0,04090","0,03680","348,32M","6,76%"
"31.01.2021","0,03831","0,03991","0,04015","0,03673","325,38M","-4,11%"
"30.01.2021","0,03995","0,04025","0,04249","0,03995","632,56M","-0,75%"
"29.01.2021","0,04025","0,03864","0,04212","0,03864","675,78M","4,01%"
"28.01.2021","0,03870","0,04176","0,04372","0,03870","595,45M","-7,57%"
"27.01.2021","0,04187","0,04348","0,04580","0,03985","1,28B","-3,30%"
"26.01.2021","0,04330","0,03260","0,04330","0,03260","1,43B","32,29%"
"25.01.2021","0,03273","0,03307","0,03549","0,03273","333,19M","-1,00%"
"24.01.2021","0,03306","0,03403","0,03510","0,03301","258,12M","-2,85%"
"23.01.2021","0,03403","0,03119","0,03441","0,03119","455,76M","8,93%"
"22.01.2021","0,03124","0,02859","0,03258","0,02772","311,35M","9,23%"
"21.01.2021","0,02860","0,03451","0,03451","0,02849","423,09M","-16,93%"
"20.01.2021","0,03443","0,03217","0,03449","0,03098","390,72M","6,40%"
"19.01.2021","0,03236","0,03619","0,03619","0,03236","342,37M","-10,51%"
"18.01.2021","0,03616","0,03425","0,03740","0,03425","381,14M","5,85%"
"17.01.2021","0,03416","0,03272","0,03416","0,03114","352,93M","4,40%"
"16.01.2021","0,03272","0,03411","0,03580","0,03254","404,88M","-3,79%"
"15.01.2021","0,03401","0,03282","0,03518","0,03267","507,84M","3,82%"
"14.01.2021","0,03276","0,03002","0,03276","0,02960","335,02M","9,49%"
"13.01.2021","0,02992","0,02609","0,02992","0,02544","319,37M","15,12%"
"12.01.2021","0,02599","0,02603","0,02778","0,02570","306,29M","0,23%"
"11.01.2021","0,02593","0,03022","0,03022","0,02339","524,58M","-14,45%"
"10.01.2021","0,03031","0,03368","0,03424","0,02831","556,20M","-9,41%"
"09.01.2021","0,03346","0,03159","0,03436","0,03090","357,77M","6,05%"
"08.01.2021","0,03155","0,03308","0,03433","0,03063","691,49M","-4,31%"
"07.01.2021","0,03297","0,03555","0,03733","0,03278","1,15B","-6,94%"
"06.01.2021","0,03543","0,02443","0,03632","0,02443","1,81B","45,38%"
"05.01.2021","0,02437","0,02471","0,02563","0,02388","916,10M","-1,26%"
"04.01.2021","0,02468","0,02022","0,02468","0,02022","660,69M","23,65%"
"03.01.2021","0,01996","0,01906","0,01999","0,01880","285,77M","4,89%"
"02.01.2021","0,01903","0,01776","0,01903","0,01776","271,51M","7,21%"
"01.01.2021","0,01775","0,01758","0,01833","0,01747","138,36M","0,97%"
"31.12.2020","0,01758","0,01809","0,01809","0,01725","151,28M","-2,77%"
"30.12.2020","0,01808","0,01844","0,01898","0,01801","126,02M","-2,06%"
"29.12.2020","0,01846","0,01890","0,01890","0,01796","156,87M","-2,22%"
"28.12.2020","0,01888","0,01832","0,01927","0,01832","210,85M","3,06%"
"27.12.2020","0,01832","0,01933","0,01933","0,01832","359,12M","-4,88%"
"26.12.2020","0,01926","0,01662","0,01926","0,01647","255,51M","15,88%"
"25.12.2020","0,01662","0,01643","0,01676","0,01617","163,84M","1,28%"
"24.12.2020","0,01641","0,01524","0,01645","0,01478","168,71M","7,61%"
"23.12.2020","0,01525","0,01860","0,01866","0,01525","219,02M","-18,05%"
"22.12.2020","0,01861","0,01809","0,01870","0,01788","101,83M","2,87%"
"21.12.2020","0,01809","0,01918","0,01944","0,01809","160,03M","-5,68%"
"20.12.2020","0,01918","0,01988","0,02001","0,01917","145,80M","-3,62%"
"19.12.2020","0,01990","0,02055","0,02068","0,01990","192,06M","-3,16%"
"18.12.2020","0,02055","0,01896","0,02055","0,01896","213,54M","8,39%"
"17.12.2020","0,01896","0,01943","0,01963","0,01889","318,46M","-2,62%"
"16.12.2020","0,01947","0,01947","0,01962","0,01898","192,80M","0,05%"
"15.12.2020","0,01946","0,01838","0,01961","0,01838","251,83M","5,88%"
"14.12.2020","0,01838","0,01816","0,01840","0,01803","83,26M","1,21%"
"13.12.2020","0,01816","0,01785","0,01828","0,01785","72,57M","1,74%"
"12.12.2020","0,01785","0,01736","0,01792","0,01736","74,62M","2,41%"
"11.12.2020","0,01743","0,01770","0,01784","0,01722","88,55M","-1,53%"
"10.12.2020","0,01770","0,01805","0,01805","0,01748","72,50M","-2,16%"
"09.12.2020","0,01809","0,01758","0,01814","0,01714","129,51M","2,78%"
"08.12.2020","0,01760","0,01915","0,01915","0,01760","129,48M","-8,09%"
"07.12.2020","0,01915","0,01956","0,01956","0,01915","63,74M","-2,10%"
"06.12.2020","0,01956","0,01967","0,01979","0,01907","122,13M","-0,66%"
"05.12.2020","0,01969","0,01880","0,01969","0,01863","98,46M","5,01%"
"04.12.2020","0,01875","0,02077","0,02101","0,01875","255,55M","-9,77%"
"03.12.2020","0,02078","0,01932","0,02088","0,01920","200,83M","7,56%"
"02.12.2020","0,01932","0,01859","0,01941","0,01859","104,73M","3,54%"
"01.12.2020","0,01866","0,01962","0,01998","0,01860","217,39M","-4,80%"
"30.11.2020","0,01960","0,01886","0,01960","0,01883","190,03M","4,03%"
"29.11.2020","0,01884","0,01872","0,01885","0,01842","121,27M","0,64%"
"28.11.2020","0,01872","0,01765","0,01884","0,01744","120,37M","6,00%"
"27.11.2020","0,01766","0,01774","0,01835","0,01716","153,49M","-0,28%"
"26.11.2020","0,01771","0,02083","0,02133","0,01649","577,77M","-15,34%"
"25.11.2020","0,02092","0,02160","0,02325","0,02092","337,28M","-3,15%"
"24.11.2020","0,02160","0,02113","0,02208","0,02093","388,52M","2,22%"
"23.11.2020","0,02113","0,01914","0,02129","0,01906","392,65M","10,51%"
